latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
39.87534,20.00477,AL,15147,363243,Sarandë,8.87,11.46,13.41,15.56,17.67,24.88,26.43,27.85,24.7,20.93,17.2,13.33
40.9025,20.6525,AL,61530,781988,Pogradec,-0.3,3.17,8.66,11.07,13.0,20.95,23.03,25.41,19.82,16.8,11.06,5.45
42.07694,20.42194,AL,17832,782661,Kukës,-0.04,3.97,8.8,12.93,14.25,22.27,23.93,25.98,20.15,16.65,11.8,5.73
40.61861,20.78083,AL,58259,782756,Korçë,-1.73,2.14,7.97,10.26,12.46,20.56,22.52,24.92,19.25,16.2,9.9,4.25
40.07583,20.13889,AL,23437,783148,Gjirokastër,5.33,8.59,11.25,13.45,15.36,23.05,24.67,26.35,22.43,18.74,14.69,10.29
41.1125,20.08222,AL,100903,783263,Elbasan,2.89,6.33,10.85,13.41,15.21,23.48,24.99,26.71,21.52,17.3,13.63,7.94
41.61028,20.00889,AL,15405,783493,Burrel,1.0,5.04,9.88,12.88,14.37,22.56,24.07,25.81,20.67,16.39,12.88,6.75
40.4686,19.48318,AL,89546,3183719,Vlorë,6.54,9.15,12.81,15.51,17.28,25.7,26.6,28.27,23.99,19.97,16.49,11.55
41.3275,19.81889,AL,418495,3183875,Tirana,5.16,8.11,12.0,14.32,16.0,23.66,24.9,26.29,22.25,18.26,15.38,9.94
42.06828,19.51258,AL,88245,3184081,Shkodër,2.88,7.13,11.54,14.98,16.25,24.76,26.15,27.71,22.63,18.08,14.16,8.61
40.64278,19.65083,AL,22679,3184517,Patos Fshat,4.45,7.4,11.62,14.27,16.1,24.54,25.52,27.16,22.34,18.29,14.84,9.58
40.68333,19.61944,AL,16000,3184518,Patos,5.0,8.01,11.84,14.43,16.31,24.7,25.59,27.2,22.73,18.52,15.13,10.0
40.94194,19.705,AL,41469,3184862,Lushnjë,4.67,8.01,11.96,14.65,16.44,24.96,26.03,27.68,22.9,18.34,14.97,9.57
41.78361,19.64361,AL,18695,3184935,Lezhë,5.0,9.54,13.64,16.16,17.56,25.88,26.46,27.63,23.34,18.67,15.68,10.42
41.63556,19.71306,AL,24825,3185012,Laç,4.85,9.4,13.49,16.01,17.41,25.73,26.31,27.48,23.19,18.52,15.53,10.27
41.50917,19.79278,AL,21286,3185082,Krujë,1.14,4.6,8.76,11.33,13.01,20.96,22.21,23.67,19.2,15.23,11.96,6.35
41.18556,19.55694,AL,29354,3185211,Kavajë,6.3,9.17,12.51,14.71,16.47,24.03,24.9,26.3,22.92,19.06,15.93,10.97
40.71667,19.56667,AL,60995,3185670,Fier-Çifçi,5.35,8.36,12.19,14.78,16.66,25.05,25.94,27.56,23.08,18.87,15.48,10.35
40.72389,19.55611,AL,56297,3185672,Fier,5.3,8.31,12.14,14.73,16.61,25.0,25.89,27.5,23.03,18.82,15.43,10.3
41.32355,19.45469,AL,122034,3185728,Durrës,7.58,10.19,13.27,15.17,16.86,23.94,24.71,26.0,23.23,20.06,17.05,12.26
40.70583,19.95222,AL,46866,3186084,Berat,3.69,6.96,11.35,14.02,15.85,24.36,25.61,27.28,22.1,17.79,14.27,8.71
42.50729,1.53414,AD,15853,3040051,les Escaldes,1.52,4.91,6.93,8.16,11.43,19.41,22.14,21.3,17.23,13.16,3.88,4.77
42.50779,1.52109,AD,20430,3041563,Andorra la Vella,1.42,4.81,6.83,8.06,11.33,19.31,22.04,21.2,17.13,13.06,3.78,4.67
39.20755,46.40576,AM,33160,174875,Kapan,2.3,3.29,5.15,9.48,17.14,22.7,23.18,22.52,16.5,14.51,5.94,4.0
39.51111,46.34168,AM,20379,174895,Goris,-2.05,-0.61,1.5,6.16,13.87,18.97,19.64,19.2,13.65,11.53,3.06,0.73
39.46405,45.97047,AM,15208,174972,Hats’avan,-5.18,-2.58,-0.05,4.03,13.27,17.24,17.89,17.34,13.58,11.65,3.16,-1.1
39.96144,44.54447,AM,20562,174979,Artashat,0.08,2.15,5.26,10.15,18.12,25.1,26.54,27.18,20.11,16.41,5.34,3.09
39.83069,44.70569,AM,28832,174991,Ararat,1.47,3.39,6.58,11.23,18.95,25.5,27.26,27.83,20.68,17.61,6.82,4.06
40.18111,44.51361,AM,1093485,616052,Yerevan,-1.55,-0.1,3.24,8.16,16.21,23.16,24.77,25.07,18.37,14.53,3.82,1.35
40.16557,44.29462,AM,46200,616062,Vagharshapat,-0.68,0.87,4.27,9.22,17.25,24.36,25.68,25.97,19.03,15.57,4.78,2.36
41.00995,44.38531,AM,23782,616194,Stepanavan,-5.22,-0.63,0.91,5.66,13.1,17.73,18.23,18.16,12.63,11.45,3.03,0.59
40.83221,44.26731,AM,15059,616199,Spitak,-6.73,-1.69,-0.23,4.77,12.47,16.8,17.14,17.01,12.12,11.2,3.22,0.0
40.5473,44.94171,AM,17083,616250,Sevan,-3.7,-2.59,-1.22,3.08,10.72,15.22,16.0,15.95,11.36,10.5,3.24,-0.15
40.06572,44.41913,AM,18911,616435,Masis,-0.22,1.58,4.72,9.57,17.57,24.72,26.01,26.55,19.52,15.98,5.32,2.93
40.80456,44.4939,AM,101098,616530,Vanadzor,-4.65,0.0,1.42,6.18,13.76,17.88,18.29,18.13,12.98,12.2,3.9,1.38
40.35398,45.12386,AM,21680,616599,Gavar,-5.93,-4.37,-2.11,2.46,10.63,15.72,16.28,15.99,12.15,10.83,3.01,-1.69
40.49748,44.7662,AM,40795,616629,Hrazdan,-4.22,-2.59,0.09,4.62,13.08,18.4,19.59,19.69,14.62,11.96,2.89,-0.45
40.15446,44.03815,AM,25963,616631,Armavir,-0.67,1.4,4.59,9.56,17.67,24.33,25.61,25.9,18.86,15.39,4.65,2.8
40.7942,43.84528,AM,148381,616635,Gyumri,-5.76,-2.56,-0.23,5.16,12.43,17.57,18.51,18.6,12.82,11.22,2.12,-0.17
40.40289,44.64447,AM,18500,616785,Ch’arents’avan,-4.05,-2.44,0.55,5.37,13.71,19.39,20.69,20.79,15.37,12.3,2.55,-0.46
40.2991,44.36204,AM,18779,616877,Ashtarak,-2.66,-0.88,2.78,7.93,16.08,23.19,24.75,24.89,18.19,14.34,3.8,0.82
40.27368,44.63348,AM,35673,617026,Abovyan,-3.78,-2.3,1.16,6.17,14.5,21.24,22.75,22.87,16.8,13.01,2.69,-0.88
47.25829,11.38808,AT,18142,2761164,Wilten,-2.38,2.97,5.27,8.05,9.39,20.05,20.16,19.52,14.91,12.28,4.93,1.71
47.80485,16.23196,AT,44820,2761353,Wiener Neustadt,-0.1,4.02,7.91,11.19,12.08,22.01,21.62,21.65,16.38,12.18,7.51,3.24
48.20849,16.37208,AT,1691468,2761369,Vienna,0.46,4.03,8.13,11.86,12.67,22.67,22.28,22.62,17.21,12.41,7.79,2.86
47.05293,15.39923,AT,15687,2761436,Wetzelsdorf,-1.18,2.74,6.44,10.32,11.45,21.26,20.97,20.68,15.66,11.23,6.78,1.82
48.16667,14.03333,AT,16857,2761524,Wels,-0.07,2.53,7.17,10.84,11.9,21.55,21.12,21.11,15.81,11.73,5.84,2.66
48.4,15.6,AT,24092,2761669,Weinzierl bei Krems,0.43,3.6,7.93,11.3,12.31,22.26,21.72,22.01,16.64,11.8,7.13,3.07
46.61028,13.85583,AT,58882,2762372,Villach,-1.24,1.96,6.21,10.09,11.25,20.71,20.9,20.26,15.73,11.82,6.6,2.4
47.30707,11.06817,AT,15229,2763810,Telfs,-2.69,2.57,4.97,7.82,9.12,19.56,19.75,19.17,14.7,12.15,4.69,1.56
47.03333,15.4,AT,16268,2764178,Straßgang,-0.96,2.7,6.37,10.36,11.44,21.25,20.94,20.58,15.64,11.09,6.72,1.59
48.38333,16.21667,AT,16292,2764279,Stockerau,0.53,3.84,8.16,11.86,12.76,22.57,22.14,22.37,17.01,12.13,7.75,2.85
48.04274,14.42127,AT,38331,2764359,Steyr,-0.7,2.55,6.78,10.33,11.33,21.24,20.84,20.67,15.53,11.66,6.15,2.58
48.18333,16.43333,AT,101420,2765028,Simmering,0.71,4.28,8.37,12.11,12.92,22.93,22.53,22.87,17.45,12.66,8.04,3.12
48.2,15.63333,AT,21911,2766429,Sankt Pölten,0.12,3.34,7.52,10.8,11.85,21.8,21.26,21.64,16.34,11.67,7.01,2.96
47.05,15.46667,AT,15187,2766446,Sankt Peter,-1.01,2.65,6.32,10.31,11.39,21.2,20.89,20.53,15.59,11.05,6.67,1.54
46.62978,14.34016,AT,20320,2766447,Sankt Peter,-1.28,2.46,6.79,10.48,11.58,20.94,21.13,20.55,15.81,11.62,6.81,2.25
46.61667,14.28333,AT,20000,2766522,Sankt Martin,-1.33,2.41,6.74,10.43,11.54,20.89,21.08,20.5,15.76,11.58,6.76,2.2
47.79941,13.04399,AT,157245,2766824,Salzburg,-1.0,1.15,5.14,9.7,10.73,20.13,19.83,19.29,14.62,11.41,4.94,2.12
47.42681,12.848,AT,16790,2766922,Saalfelden am Steinernen Meer,-3.4,1.55,3.74,6.6,7.93,19.4,18.88,18.68,14.09,11.22,4.32,0.38
47.26539,11.4152,AT,32588,2768442,Pradl,-2.33,3.02,5.33,8.1,9.44,20.1,20.21,19.58,14.95,12.33,4.98,1.76
48.11935,16.26607,AT,15047,2769110,Perchtoldsdorf,0.18,3.91,7.8,11.36,12.15,22.16,21.76,22.07,16.68,12.1,7.5,2.8
48.21667,16.3,AT,104627,2769359,Ottakring,0.25,3.93,7.85,11.47,12.31,22.3,21.79,22.16,16.84,12.16,7.62,2.82
48.08605,16.28921,AT,20555,2771335,Mödling,0.38,4.11,8.0,11.56,12.35,22.36,21.96,22.27,16.88,12.3,7.7,3.0
