latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
39.87534,20.00477,AL,15147,363243,Sarandë,11.93,7.79,11.22,13.96,21.03,26.14,27.11,27.96,23.1,19.24,16.01,11.33
40.9025,20.6525,AL,61530,781988,Pogradec,2.91,-1.67,4.84,8.38,18.56,22.39,23.51,24.7,17.26,12.35,9.07,2.7
42.07694,20.42194,AL,17832,782661,Kukës,2.33,-1.55,5.12,9.33,19.89,23.43,23.87,25.3,17.42,12.35,9.55,2.58
40.61861,20.78083,AL,58259,782756,Korçë,1.96,-2.56,3.84,7.3,17.56,21.4,22.67,23.65,16.1,11.53,7.7,1.72
40.07583,20.13889,AL,23437,783148,Gjirokastër,8.89,4.48,8.67,11.95,19.65,24.22,25.32,26.01,20.18,16.53,13.45,8.74
41.1125,20.08222,AL,100903,783263,Elbasan,6.55,2.34,7.47,11.32,20.12,24.6,25.44,26.53,19.55,14.97,11.91,6.13
41.61028,20.00889,AL,15405,783493,Burrel,4.39,-0.53,6.18,10.12,19.55,23.8,24.62,25.98,18.53,13.75,10.79,4.2
40.4686,19.48318,AL,89546,3183719,Vlorë,10.03,5.99,9.93,13.73,21.77,26.95,27.96,28.62,21.98,17.96,14.7,9.65
41.3275,19.81889,AL,418495,3183875,Tirana,8.24,4.26,8.98,12.46,19.98,24.67,25.54,26.81,20.44,16.14,13.54,7.94
42.06828,19.51258,AL,88245,3184081,Shkodër,6.2,2.73,8.53,12.43,22.0,26.28,26.59,28.23,20.22,15.33,12.18,6.2
40.64278,19.65083,AL,22679,3184517,Patos Fshat,8.15,3.92,8.29,12.35,20.44,25.55,26.46,27.27,20.37,16.45,13.17,7.63
40.68333,19.61944,AL,16000,3184518,Patos,8.54,4.38,8.66,12.58,20.57,25.75,26.6,27.34,20.64,16.72,13.51,8.03
40.94194,19.705,AL,41469,3184862,Lushnjë,8.31,4.23,8.83,12.71,20.87,26.15,26.82,27.79,20.9,16.58,13.35,7.69
41.78361,19.64361,AL,18695,3184935,Lezhë,8.54,4.64,10.33,13.92,22.54,27.08,27.38,28.82,21.23,16.59,13.86,8.06
41.63556,19.71306,AL,24825,3185012,Laç,8.39,4.5,10.18,13.77,22.39,26.93,27.23,28.67,21.07,16.44,13.71,7.91
41.50917,19.79278,AL,21286,3185082,Krujë,4.54,-0.38,5.2,9.1,17.6,21.89,22.57,23.99,17.17,12.9,10.26,4.28
41.18556,19.55694,AL,29354,3185211,Kavajë,9.41,5.56,9.81,13.0,20.14,25.06,25.97,26.8,20.98,17.04,14.41,9.12
40.71667,19.56667,AL,60995,3185670,Fier-Çifçi,8.9,4.73,9.01,12.93,20.92,26.1,26.95,27.69,20.99,17.07,13.86,8.37
40.72389,19.55611,AL,56297,3185672,Fier,8.84,4.68,8.96,12.88,20.87,26.05,26.9,27.64,20.94,17.02,13.81,8.33
41.32355,19.45469,AL,122034,3185728,Durrës,10.46,6.62,10.75,13.58,20.08,24.81,25.8,26.57,21.49,17.74,15.54,10.5
40.70583,19.95222,AL,46866,3186084,Berat,7.47,3.21,8.02,12.0,20.52,25.46,26.21,27.21,20.17,15.9,12.59,6.89
42.50729,1.53414,AD,15853,3040051,les Escaldes,-0.24,-0.69,6.6,8.31,13.61,20.52,21.05,22.79,15.48,9.51,7.13,1.38
42.50779,1.52109,AD,20430,3041563,Andorra la Vella,-0.34,-0.79,6.5,8.21,13.51,20.42,20.95,22.69,15.38,9.41,7.03,1.28
39.20755,46.40576,AM,33160,174875,Kapan,-0.15,0.27,1.55,7.82,14.32,17.02,20.95,22.22,16.62,14.98,5.09,0.75
39.51111,46.34168,AM,20379,174895,Goris,-3.92,-3.11,-1.58,4.31,11.14,14.04,17.79,18.87,13.64,11.92,1.55,-3.17
39.46405,45.97047,AM,15208,174972,Hats’avan,-4.89,-4.94,-2.46,3.31,10.24,13.98,16.43,17.55,13.33,11.7,0.73,-4.74
39.96144,44.54447,AM,20562,174979,Artashat,-0.97,-0.11,2.42,10.44,16.86,20.59,24.6,25.5,19.95,15.34,5.48,-1.22
39.83069,44.70569,AM,28832,174991,Ararat,0.02,0.77,2.44,11.35,17.69,20.84,25.03,26.05,20.81,16.78,6.63,-0.04
40.18111,44.51361,AM,1093485,616052,Yerevan,-2.05,-1.48,0.52,8.54,14.81,19.22,23.18,23.74,18.1,13.74,3.91,-2.68
40.16557,44.29462,AM,46200,616062,Vagharshapat,-2.05,-1.08,1.66,9.36,16.08,20.12,24.03,24.66,18.91,14.63,4.82,-1.11
41.00995,44.38531,AM,23782,616194,Stepanavan,-5.64,-4.74,-2.68,3.05,11.48,13.85,16.74,17.57,12.87,10.62,1.11,-4.12
40.83221,44.26731,AM,15059,616199,Spitak,-5.86,-5.61,-3.28,2.37,10.67,13.17,15.85,16.62,12.23,9.98,0.23,-5.06
40.5473,44.94171,AM,17083,616250,Sevan,-3.91,-5.46,-4.23,1.48,8.27,11.44,14.46,15.58,11.33,9.74,1.54,-2.83
40.06572,44.41913,AM,18911,616435,Masis,-1.34,-0.66,2.16,9.86,16.33,20.23,24.22,25.04,19.34,14.94,5.27,-0.82
40.80456,44.4939,AM,101098,616530,Vanadzor,-4.55,-4.27,-2.17,3.4,11.86,14.13,16.82,17.6,13.05,11.36,1.53,-3.59
40.35398,45.12386,AM,21680,616599,Gavar,-4.65,-6.15,-4.73,1.57,8.3,11.95,14.85,15.71,11.9,10.0,1.27,-3.87
40.49748,44.7662,AM,40795,616629,Hrazdan,-3.83,-4.42,-2.73,4.07,10.81,14.89,18.2,18.89,14.28,11.4,1.78,-3.48
40.15446,44.03815,AM,25963,616631,Armavir,-2.14,-0.79,2.19,9.73,16.66,20.2,24.07,24.58,18.76,14.64,5.0,-0.95
40.7942,43.84528,AM,148381,616635,Gyumri,-6.11,-5.74,-3.51,3.79,10.74,13.39,16.77,17.46,12.92,10.16,0.9,-5.13
40.40289,44.64447,AM,18500,616785,Ch’arents’avan,-3.98,-3.95,-2.22,4.83,11.77,15.82,19.17,19.89,15.08,11.75,1.78,-3.8
40.2991,44.36204,AM,18779,616877,Ashtarak,-3.77,-2.02,-0.24,8.31,14.85,19.29,23.23,23.79,18.08,13.5,3.59,-3.25
40.27368,44.63348,AM,35673,617026,Abovyan,-4.16,-3.28,-1.66,6.25,13.05,17.46,21.21,21.84,16.55,12.16,2.12,-4.68
47.25829,11.38808,AT,18142,2761164,Wilten,-3.05,-2.99,5.28,7.2,14.91,21.0,19.48,21.76,14.19,5.85,5.69,-0.49
47.80485,16.23196,AT,44820,2761353,Wiener Neustadt,-1.41,-2.38,5.67,8.96,16.98,21.68,21.02,23.36,15.28,7.03,6.21,0.57
48.20849,16.37208,AT,1691468,2761369,Vienna,-1.42,-1.67,5.5,9.24,17.54,22.09,21.64,23.69,15.78,7.49,6.55,0.87
47.05293,15.39923,AT,15687,2761436,Wetzelsdorf,-3.67,-4.09,5.26,8.0,16.49,21.12,20.86,22.36,14.1,6.88,5.26,0.48
48.16667,14.03333,AT,16857,2761524,Wels,-1.37,-3.07,5.61,8.97,16.47,21.81,20.9,23.04,15.48,6.97,5.63,0.75
48.4,15.6,AT,24092,2761669,Weinzierl bei Krems,-1.69,-2.77,5.36,8.99,17.1,21.75,21.21,23.22,15.42,6.96,5.99,0.72
46.61028,13.85583,AT,58882,2762372,Villach,-2.29,-3.42,6.02,7.47,16.14,21.42,20.77,22.69,14.45,6.71,5.87,1.3
47.30707,11.06817,AT,15229,2763810,Telfs,-3.21,-3.29,4.92,6.86,14.46,20.52,19.09,21.25,13.94,5.7,5.37,-0.73
47.03333,15.4,AT,16268,2764178,Straßgang,-3.9,-4.24,5.18,8.06,16.51,21.14,20.92,22.4,14.13,7.05,5.1,0.31
48.38333,16.21667,AT,16292,2764279,Stockerau,-1.58,-1.68,5.44,9.21,17.43,21.79,21.4,23.41,15.69,7.51,6.53,0.94
48.04274,14.42127,AT,38331,2764359,Steyr,-1.7,-3.41,5.16,8.42,16.03,21.29,20.41,22.46,14.88,6.49,5.67,0.23
48.18333,16.43333,AT,101420,2765028,Simmering,-1.17,-1.43,5.75,9.48,17.79,22.34,21.89,23.93,16.03,7.74,6.8,1.12
48.2,15.63333,AT,21911,2766429,Sankt Pölten,-1.77,-3.27,5.13,8.64,16.71,21.4,20.79,22.81,15.07,6.68,5.84,0.58
47.05,15.46667,AT,15187,2766446,Sankt Peter,-3.95,-4.29,5.13,8.01,16.46,21.09,20.87,22.35,14.08,7.0,5.05,0.26
46.62978,14.34016,AT,20320,2766447,Sankt Peter,-2.78,-2.82,6.11,7.99,16.54,21.75,21.22,22.89,14.71,7.07,5.83,1.27
46.61667,14.28333,AT,20000,2766522,Sankt Martin,-2.83,-2.87,6.06,7.94,16.49,21.71,21.17,22.84,14.66,7.01,5.78,1.22
47.79941,13.04399,AT,157245,2766824,Salzburg,-2.18,-4.92,4.55,7.98,15.07,20.47,19.29,21.63,13.61,6.3,5.15,-0.21
47.42681,12.848,AT,16790,2766922,Saalfelden am Steinernen Meer,-4.1,-4.98,3.74,5.44,13.79,19.28,18.08,20.32,12.52,4.93,4.58,-0.75
47.26539,11.4152,AT,32588,2768442,Pradl,-3.0,-2.94,5.33,7.25,14.96,21.05,19.53,21.81,14.24,5.89,5.74,-0.44
48.11935,16.26607,AT,15047,2769110,Perchtoldsdorf,-1.53,-2.05,5.31,8.83,17.05,21.67,21.18,23.29,15.32,7.1,6.27,0.68
48.21667,16.3,AT,104627,2769359,Ottakring,-1.5,-1.92,5.32,8.91,17.2,21.68,21.19,23.23,15.4,7.26,6.41,0.84
48.08605,16.28921,AT,20555,2771335,Mödling,-1.33,-1.85,5.51,9.03,17.25,21.87,21.38,23.49,15.52,7.3,6.47,0.88
48.16667,16.33333,AT,97624,2771706,Meidling,-1.25,-1.67,5.57,9.16,17.45,21.93,21.44,23.48,15.66,7.51,6.66,1.08
47.42642,9.65851,AT,22821,2772173,Lustenau,-0.56,-2.52,5.38,8.79,15.16,22.16,20.11,22.84,15.03,7.47,5.63,1.17
48.30639,14.28611,AT,204846,2772400,Linz,-1.48,-3.14,5.54,9.01,16.61,21.87,20.91,23.15,15.68,7.06,5.81,0.86
48.30521,16.32522,AT,15614,2773913,Klosterneuburg,-1.34,-1.58,5.56,9.26,17.49,21.88,21.4,23.43,15.72,7.63,6.67,1.05
46.62472,14.30528,AT,100316,2774326,Klagenfurt am Wörthersee,-2.88,-2.92,6.01,7.89,16.44,21.66,21.12,22.79,14.61,6.97,5.73,1.17
47.26266,11.39454,AT,132493,2775220,Innsbruck,-3.0,-2.94,5.33,7.25,14.96,21.05,19.53,21.81,14.24,5.89,5.74,-0.44
48.20906,16.37135,AT,16450,2775260,Innere Stadt,-1.42,-1.67,5.5,9.24,17.54,22.09,21.64,23.69,15.78,7.49,6.55,0.87
47.26815,11.36868,AT,35043,2775479,Hötting,-3.6,-3.54,4.73,6.65,14.36,20.45,18.93,21.21,13.64,5.29,5.14,-1.04
47.36121,9.68694,AT,16317,2775742,Hohenems,-0.76,-2.72,5.18,8.59,14.96,21.96,19.91,22.64,14.83,7.27,5.43,0.97
48.18623,16.2965,AT,54265,2776421,Hietzing,-1.15,-1.57,5.67,9.26,17.55,22.03,21.54,23.58,15.76,7.61,6.76,1.18
48.23333,16.26667,AT,57546,2776488,Hernals,-2.05,-2.47,4.77,8.36,16.65,21.13,20.64,22.68,14.86,6.71,5.86,0.28
47.06667,15.45,AT,295424,2778067,Graz,-4.0,-4.34,5.08,7.96,16.41,21.04,20.82,22.3,14.03,6.95,5.0,0.21
48.25,16.4,AT,162779,2779469,Floridsdorf,-1.36,-1.51,5.62,9.44,17.68,22.11,21.65,23.68,15.96,7.75,6.76,1.06
47.23306,9.6,AT,33420,2779674,Feldkirch,-1.37,-3.56,5.55,8.57,14.87,21.42,19.59,22.08,14.53,7.16,5.3,-0.09
47.07,15.39871,AT,20511,2780361,Eggenberg,-3.73,-4.14,5.21,7.95,16.45,21.07,20.81,22.31,14.04,6.83,5.2,0.43
47.41427,9.74195,AT,49278,2780741,Dornbirn,-0.76,-2.72,5.18,8.59,14.96,21.96,19.91,22.64,14.83,7.27,5.43,0.97
47.50311,9.7471,AT,29806,2781503,Bregenz,-0.19,-2.36,5.5,9.0,15.61,22.77,20.7,23.71,15.64,7.84,5.93,1.35
48.00543,16.23264,AT,26286,2782067,Baden,-1.31,-1.96,5.56,9.03,17.17,21.89,21.39,23.62,15.49,7.18,6.29,0.68
48.1229,14.87206,AT,15559,2782555,Amstetten,-1.93,-3.85,5.05,8.61,16.27,21.35,20.46,22.58,14.86,6.51,5.7,-0.07
48.16116,16.38233,AT,201882,8063098,Favoriten,-1.72,-1.97,5.2,8.94,17.24,21.79,21.34,23.39,15.48,7.19,6.25,0.57
48.2333,16.46002,AT,187007,11903636,Donaustadt,-1.4,-1.6,5.58,9.4,17.73,22.24,21.71,23.84,15.97,7.68,6.66,0.9
47.05441,15.44984,AT,32912,11903637,Jakomini,-3.53,-3.94,5.41,8.15,16.65,21.27,21.01,22.51,14.24,7.03,5.4,0.63
47.08256,15.41589,AT,31147,11903638,Lend,-3.63,-4.04,5.31,8.05,16.55,21.17,20.91,22.41,14.14,6.93,5.3,0.53
