latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
47.25829,11.38808,AT,18142,2761164,Wilten,-2.47,2.55,3.96,6.38,10.44,19.12,18.96,17.46,16.48,10.05,4.96,0.83
47.80485,16.23196,AT,44820,2761353,Wiener Neustadt,0.76,3.24,5.04,7.85,12.76,21.12,22.04,19.08,16.85,10.41,4.89,2.29
48.20849,16.37208,AT,1691468,2761369,Vienna,1.01,2.67,4.8,8.14,13.19,21.67,22.5,19.31,17.2,10.63,5.22,2.36
47.05293,15.39923,AT,15687,2761436,Wetzelsdorf,-1.53,2.66,4.38,7.19,11.72,20.31,21.38,18.52,16.17,9.19,4.18,-0.29
48.16667,14.03333,AT,16857,2761524,Wels,-0.3,3.06,4.57,7.25,11.76,20.21,20.33,17.84,16.27,9.62,4.26,2.33
48.4,15.6,AT,24092,2761669,Weinzierl bei Krems,0.68,3.03,4.74,7.85,12.66,21.07,21.86,18.81,16.9,10.19,4.7,2.56
46.61028,13.85583,AT,58882,2762372,Villach,-2.16,1.26,4.66,7.49,11.5,20.36,20.78,19.02,16.77,9.55,5.02,-0.22
47.30707,11.06817,AT,15229,2763810,Telfs,-3.0,2.24,3.39,5.82,9.78,18.53,18.47,16.97,16.03,9.82,4.58,0.32
47.03333,15.4,AT,16268,2764178,Straßgang,-1.76,2.25,4.35,7.11,11.7,20.35,21.4,18.63,16.17,9.02,4.03,-0.59
48.38333,16.21667,AT,16292,2764279,Stockerau,0.99,2.52,4.82,8.26,13.22,21.68,22.42,19.28,17.2,10.65,5.26,2.4
48.04274,14.42127,AT,38331,2764359,Steyr,-0.29,2.76,4.07,6.74,11.35,19.7,19.99,17.43,15.79,9.44,4.27,1.35
48.18333,16.43333,AT,101420,2765028,Simmering,1.26,2.92,5.05,8.39,13.44,21.93,22.75,19.56,17.45,10.88,5.47,2.61
48.2,15.63333,AT,21911,2766429,Sankt Pölten,0.36,3.06,4.35,7.37,12.14,20.52,21.34,18.32,16.42,9.9,4.45,2.46
47.05,15.46667,AT,15187,2766446,Sankt Peter,-1.8,2.2,4.3,7.07,11.65,20.3,21.35,18.58,16.12,8.97,3.98,-0.64
46.62978,14.34016,AT,20320,2766447,Sankt Peter,-2.16,1.01,5.35,7.89,11.81,20.68,21.29,19.21,16.81,9.39,4.77,-0.54
46.61667,14.28333,AT,20000,2766522,Sankt Martin,-2.21,0.96,5.3,7.84,11.76,20.63,21.24,19.16,16.76,9.34,4.72,-0.59
47.79941,13.04399,AT,157245,2766824,Salzburg,-0.57,2.17,3.54,6.31,10.86,18.75,18.7,16.75,15.29,9.24,3.77,1.32
47.42681,12.848,AT,16790,2766922,Saalfelden am Steinernen Meer,-3.59,0.93,2.06,4.79,8.96,18.3,18.36,16.16,15.22,8.86,3.83,-0.3
47.26539,11.4152,AT,32588,2768442,Pradl,-2.43,2.61,4.01,6.43,10.49,19.18,19.01,17.51,16.53,10.1,5.02,0.88
48.11935,16.26607,AT,15047,2769110,Perchtoldsdorf,0.63,2.62,4.47,7.58,12.57,20.98,21.83,18.75,16.64,10.21,4.87,2.15
48.21667,16.3,AT,104627,2769359,Ottakring,0.87,2.65,4.59,7.81,12.82,21.21,22.01,18.93,16.84,10.42,5.09,2.34
48.08605,16.28921,AT,20555,2771335,Mödling,0.83,2.82,4.67,7.78,12.77,21.18,22.03,18.95,16.84,10.41,5.07,2.35
48.16667,16.33333,AT,97624,2771706,Meidling,1.12,2.9,4.84,8.06,13.07,21.46,22.25,19.18,17.08,10.67,5.34,2.59
47.42642,9.65851,AT,22821,2772173,Lustenau,-0.57,2.36,4.53,7.25,10.87,19.13,18.52,17.32,16.34,9.98,4.47,1.17
48.30639,14.28611,AT,204846,2772400,Linz,-0.21,2.94,4.73,7.34,11.81,20.24,20.45,17.92,16.3,9.78,4.31,2.11
48.30521,16.32522,AT,15614,2773913,Klosterneuburg,1.15,2.71,4.92,8.24,13.25,21.69,22.41,19.32,17.22,10.74,5.4,2.58
46.62472,14.30528,AT,100316,2774326,Klagenfurt am Wörthersee,-2.26,0.91,5.25,7.79,11.71,20.58,21.19,19.11,16.71,9.29,4.67,-0.64
47.26266,11.39454,AT,132493,2775220,Innsbruck,-2.43,2.61,4.01,6.43,10.49,19.18,19.01,17.51,16.53,10.1,5.02,0.88
48.20906,16.37135,AT,16450,2775260,Innere Stadt,1.01,2.67,4.8,8.14,13.19,21.67,22.5,19.31,17.2,10.63,5.22,2.36
47.26815,11.36868,AT,35043,2775479,Hötting,-3.03,2.01,3.41,5.83,9.89,18.58,18.41,16.91,15.93,9.5,4.42,0.28
47.36121,9.68694,AT,16317,2775742,Hohenems,-0.77,2.16,4.33,7.05,10.67,18.93,18.32,17.12,16.14,9.78,4.27,0.97
48.18623,16.2965,AT,54265,2776421,Hietzing,1.22,3.0,4.94,8.16,13.17,21.56,22.35,19.28,17.18,10.77,5.44,2.69
48.23333,16.26667,AT,57546,2776488,Hernals,0.32,2.1,4.04,7.26,12.27,20.66,21.45,18.38,16.28,9.87,4.54,1.79
47.06667,15.45,AT,295424,2778067,Graz,-1.86,2.15,4.25,7.01,11.6,20.25,21.3,18.53,16.07,8.92,3.93,-0.69
48.25,16.4,AT,162779,2779469,Floridsdorf,1.15,2.69,4.95,8.37,13.4,21.89,22.68,19.49,17.37,10.84,5.44,2.5
47.23306,9.6,AT,33420,2779674,Feldkirch,-1.3,2.31,4.07,6.25,10.62,18.63,18.18,17.07,15.93,9.7,4.14,-0.49
47.07,15.39871,AT,20511,2780361,Eggenberg,-1.58,2.61,4.33,7.14,11.67,20.26,21.33,18.47,16.12,9.14,4.13,-0.34
47.41427,9.74195,AT,49278,2780741,Dornbirn,-0.77,2.16,4.33,7.05,10.67,18.93,18.32,17.12,16.14,9.78,4.27,0.97
47.50311,9.7471,AT,29806,2781503,Bregenz,-0.27,2.72,4.77,7.6,11.28,19.68,18.96,17.78,16.8,10.57,4.85,1.89
48.00543,16.23264,AT,26286,2782067,Baden,0.84,2.89,4.76,7.81,12.78,21.21,22.05,18.98,16.84,10.34,4.91,2.31
48.1229,14.87206,AT,15559,2782555,Amstetten,-0.26,2.81,4.23,6.96,11.58,19.91,20.3,17.67,15.92,9.55,4.01,1.34
48.16116,16.38233,AT,201882,8063098,Favoriten,0.71,2.37,4.5,7.84,12.89,21.38,22.2,19.01,16.9,10.33,4.92,2.06
48.2333,16.46002,AT,187007,11903636,Donaustadt,1.16,2.64,4.94,8.31,13.37,21.86,22.72,19.52,17.35,10.75,5.32,2.35
47.05441,15.44984,AT,32912,11903637,Jakomini,-1.38,2.81,4.53,7.34,11.87,20.46,21.53,18.67,16.32,9.34,4.33,-0.14
47.08256,15.41589,AT,31147,11903638,Lend,-1.48,2.71,4.43,7.24,11.77,20.36,21.43,18.57,16.22,9.24,4.23,-0.24
47.08393,15.444,AT,24767,11903639,Geidorf,-1.58,2.61,4.33,7.14,11.67,20.26,21.33,18.47,16.12,9.14,4.13,-0.34
47.06924,15.45784,AT,15853,11903640,Sankt Leonhard,-1.36,2.52,4.24,6.98,11.65,20.24,21.43,18.63,16.13,9.2,4.26,-0.23
47.11387,15.42348,AT,19020,11903641,Andritz,-1.58,2.61,4.33,7.14,11.67,20.26,21.33,18.47,16.12,9.14,4.13,-0.34
47.06236,15.42421,AT,29363,11903642,Gries,-1.43,2.76,4.48,7.29,11.82,20.41,21.48,18.62,16.27,9.29,4.29,-0.19
39.8177,46.7528,AZ,53100,146970,Xankandi,0.28,2.47,3.49,13.4,16.77,22.11,24.11,24.76,18.33,10.09,6.54,2.74
39.88074,48.39158,AZ,17242,147059,Əhmədbəyli,4.55,6.6,8.61,18.39,22.69,28.78,30.54,31.54,24.68,16.14,11.18,7.85
39.76006,46.74989,AZ,18662,147105,Şuşa,-2.61,-0.25,0.7,10.83,14.01,18.9,20.39,20.98,15.48,7.6,4.4,-0.49
39.59621,48.98479,AZ,36555,147271,Salyan,5.87,6.59,8.34,16.81,21.28,27.06,29.19,30.4,23.88,16.38,11.78,8.7
39.93214,48.36892,AZ,87000,147288,Saatlı,4.5,6.56,8.56,18.34,22.64,28.73,30.49,31.49,24.63,16.09,11.13,7.8
39.3768,49.247,AZ,18661,147425,Neftçala,7.06,7.23,8.52,15.83,20.22,25.89,28.29,29.64,23.71,17.03,12.74,9.86
39.20889,45.41222,AZ,64754,147429,Nakhchivan,-1.07,3.87,6.62,17.45,21.09,28.04,28.87,28.5,22.6,14.08,8.38,1.88
38.77388,48.41497,AZ,87000,147611,Lerik,0.43,3.43,4.19,13.69,16.88,22.02,22.99,24.35,18.29,11.25,7.39,3.52
38.75428,48.85062,AZ,240300,147622,Lankaran,7.03,7.48,8.55,16.01,19.9,25.02,27.04,28.46,22.55,16.31,12.52,9.78
39.87095,48.05995,AZ,34178,147982,Imishli,4.12,6.6,8.63,18.65,22.87,29.03,30.65,31.56,24.69,16.01,11.08,7.51
39.60094,47.14529,AZ,26765,148106,Fizuli,2.56,4.65,5.73,15.53,19.46,25.27,27.44,28.06,21.07,12.56,8.54,4.94
39.20963,48.49186,AZ,36259,148290,Jalilabad,4.39,6.11,7.56,15.99,20.13,25.45,27.55,28.56,22.58,15.13,10.54,7.38
39.45833,48.545,AZ,18182,148340,Pushkino,4.65,6.49,8.18,16.94,21.37,27.04,29.12,30.12,23.83,15.93,11.14,7.79
39.77556,47.61861,AZ,15599,148354,Beylagan,3.23,6.23,8.05,18.04,22.24,28.51,30.17,30.92,23.94,15.4,10.58,6.73
38.45598,48.87498,AZ,15190,148445,Astara,7.04,7.71,8.82,16.42,20.1,25.14,26.56,28.21,22.12,15.91,12.25,9.58
39.93778,48.929,AZ,70220,148565,Şirvan,5.01,6.0,8.05,17.64,22.07,28.0,29.91,31.04,24.01,15.93,10.96,7.88
39.99096,46.92736,AZ,39451,148619,Ağdam,1.16,3.88,5.31,14.98,18.6,24.44,26.38,27.1,20.29,11.95,7.93,3.87
41.6316,46.64479,AZ,32171,584596,Zaqatala,2.74,3.84,4.18,14.34,17.63,23.08,24.08,24.93,18.46,10.97,7.39,3.58
40.47746,49.94174,AZ,21396,584614,Zabrat,7.11,5.85,7.15,13.5,18.43,23.66,26.93,28.77,22.61,16.0,11.77,9.4
40.61832,47.15014,AZ,127400,584649,Yevlakh,3.18,6.69,8.28,18.44,21.59,28.56,30.31,30.96,23.65,14.8,10.48,6.42
40.58584,46.3189,AZ,17816,584716,Göygöl,2.38,3.91,4.02,14.0,17.2,21.77,23.42,24.39,17.87,10.66,7.88,3.58
41.46426,48.80565,AZ,37175,584717,Xaçmaz,4.33,3.08,4.95,12.41,17.93,23.54,26.14,27.82,19.87,13.25,8.81,6.37
