name,latitude,longitude,country,population,id
Wilten,47.25829,11.38808,AT,18142,2761164
Wiener Neustadt,47.80485,16.23196,AT,44820,2761353
Vienna,48.20849,16.37208,AT,1691468,2761369
Wetzelsdorf,47.05293,15.39923,AT,15687,2761436
Wels,48.16667,14.03333,AT,16857,2761524
Weinzierl bei Krems,48.4,15.6,AT,24092,2761669
Villach,46.61028,13.85583,AT,58882,2762372
Telfs,47.30707,11.06817,AT,15229,2763810
Straßgang,47.03333,15.4,AT,16268,2764178
Stockerau,48.38333,16.21667,AT,16292,2764279
Steyr,48.04274,14.42127,AT,38331,2764359
Simmering,48.18333,16.43333,AT,101420,2765028
Sankt Pölten,48.2,15.63333,AT,21911,2766429
Sankt Peter,47.05,15.46667,AT,15187,2766446
Sankt Peter,46.62978,14.34016,AT,20320,2766447
Sankt Martin,46.61667,14.28333,AT,20000,2766522
Salzburg,47.79941,13.04399,AT,157245,2766824
Saalfelden am Steinernen Meer,47.42681,12.848,AT,16790,2766922
Pradl,47.26539,11.4152,AT,32588,2768442
Perchtoldsdorf,48.11935,16.26607,AT,15047,2769110
Ottakring,48.21667,16.3,AT,104627,2769359
Mödling,48.08605,16.28921,AT,20555,2771335
Meidling,48.16667,16.33333,AT,97624,2771706
Lustenau,47.42642,9.65851,AT,22821,2772173
Linz,48.30639,14.28611,AT,204846,2772400
Klosterneuburg,48.30521,16.32522,AT,15614,2773913
Klagenfurt am Wörthersee,46.62472,14.30528,AT,100316,2774326
Innsbruck,47.26266,11.39454,AT,132493,2775220
Innere Stadt,48.20906,16.37135,AT,16450,2775260
Hötting,47.26815,11.36868,AT,35043,2775479
Hohenems,47.36121,9.68694,AT,16317,2775742
Hietzing,48.18623,16.2965,AT,54265,2776421
Hernals,48.23333,16.26667,AT,57546,2776488
Graz,47.06667,15.45,AT,295424,2778067
Floridsdorf,48.25,16.4,AT,162779,2779469
Feldkirch,47.23306,9.6,AT,33420,2779674
Eggenberg,47.07,15.39871,AT,20511,2780361
Dornbirn,47.41427,9.74195,AT,49278,2780741
Bregenz,47.50311,9.7471,AT,29806,2781503
Baden,48.00543,16.23264,AT,26286,2782067
Amstetten,48.1229,14.87206,AT,15559,2782555
Favoriten,48.16116,16.38233,AT,201882,8063098
Donaustadt,48.2333,16.46002,AT,187007,11903636
Jakomini,47.05441,15.44984,AT,32912,11903637
Lend,47.08256,15.41589,AT,31147,11903638
Geidorf,47.08393,15.444,AT,24767,11903639
Sankt Leonhard,47.06924,15.45784,AT,15853,11903640
Andritz,47.11387,15.42348,AT,19020,11903641
Gries,47.06236,15.42421,AT,29363,11903642
