name,latitude,longitude,country,population,id
Viljandi,58.36389,25.59,EE,17407,587577
Tartu,58.38062,26.72509,EE,91407,588335
Tallinn,59.43696,24.75353,EE,394024,588409
Pärnu,58.38588,24.49711,EE,40228,589580
Nõmme,59.37757,24.68587,EE,39422,589947
Narva,59.37722,28.19028,EE,54409,590031
Maardu,59.46529,24.98215,EE,16630,590447
Kohtla-Järve,59.39861,27.27306,EE,35395,591260
